latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
36.12966,40.81136,312.02,0.46,0.63,2026-08-26,11,N,VIIRS,n,2.0NRT,294.77,1.09,N
36.12978,40.81018,311.59,0.46,0.63,2026-08-26,11,N,VIIRS,n,2.0NRT,294.96,1.14,N
36.26243,33.73058,316.98,0.39,0.44,2026-08-26,11,N,VIIRS,n,2.0NRT,298.02,1.66,N
36.32314,38.69178,306.22,0.35,0.57,2026-08-26,11,N,VIIRS,n,2.0NRT,295.65,0.56,N
36.45891,41.28355,304.6,0.47,0.64,2026-08-26,11,N,VIIRS,n,2.0NRT,293.09,0.99,N
36.7456,39.85981,330.19,0.39,0.59,2026-08-26,11,N,VIIRS,n,2.0NRT,294.3,2.21,N
36.75087,39.86197,312.0,0.39,0.59,2026-08-26,11,N,VIIRS,n,2.0NRT,294.13,2.21,N
37.21287,35.76073,312.67,0.47,0.47,2026-08-26,11,N,VIIRS,n,2.0NRT,294.03,1.18,N
37.25264,30.4438,317.66,0.42,0.37,2026-08-26,11,N,VIIRS,n,2.0NRT,294.71,2.17,N
37.8632,29.37307,305.92,0.39,0.36,2026-08-26,11,N,VIIRS,n,2.0NRT,294.99,0.96,N
37.89719,30.49493,303.62,0.41,0.37,2026-08-26,11,N,VIIRS,n,2.0NRT,290.36,1.24,N
37.9383,32.53448,302.15,0.48,0.4,2026-08-26,11,N,VIIRS,n,2.0NRT,291.15,0.76,N
38.1397,30.89104,306.86,0.42,0.38,2026-08-26,11,N,VIIRS,n,2.0NRT,289.88,0.6,N
38.14056,30.8863,299.15,0.42,0.38,2026-08-26,11,N,VIIRS,n,2.0NRT,288.01,0.6,N
38.1431,30.89197,313.3,0.42,0.38,2026-08-26,11,N,VIIRS,n,2.0NRT,294.79,2.16,N
38.4282,27.21898,318.49,0.39,0.36,2026-08-26,11,N,VIIRS,n,2.0NRT,298.58,2.38,N
38.43467,29.42479,307.25,0.39,0.36,2026-08-26,11,N,VIIRS,n,2.0NRT,290.39,0.98,N
38.44173,29.36209,307.67,0.39,0.36,2026-08-26,11,N,VIIRS,n,2.0NRT,290.98,0.88,N
38.44247,29.35767,319.34,0.39,0.36,2026-08-26,11,N,VIIRS,n,2.0NRT,291.83,1.74,N
38.65839,30.61786,309.2,0.41,0.37,2026-08-26,11,N,VIIRS,n,2.0NRT,290.92,1.24,N
38.72526,26.94176,309.09,0.39,0.36,2026-08-26,11,N,VIIRS,n,2.0NRT,295.8,0.89,N
38.73531,26.96735,306.73,0.39,0.36,2026-08-26,11,N,VIIRS,n,2.0NRT,296.6,1.24,N
38.73859,26.94484,321.08,0.39,0.36,2026-08-26,11,N,VIIRS,n,2.0NRT,299.28,2.62,N
38.74055,26.93134,315.25,0.39,0.36,2026-08-26,11,N,VIIRS,n,2.0NRT,296.69,1.81,N
38.74263,26.96441,310.76,0.39,0.36,2026-08-26,11,N,VIIRS,n,2.0NRT,296.5,1.5,N
38.74459,26.95092,316.56,0.39,0.36,2026-08-26,11,N,VIIRS,n,2.0NRT,297.37,2.42,N
38.75322,26.93901,308.99,0.39,0.36,2026-08-26,11,N,VIIRS,n,2.0NRT,296.11,0.83,N
38.76255,31.90499,320.16,0.44,0.39,2026-08-26,11,N,VIIRS,n,2.0NRT,288.1,1.9,N
38.76264,31.90877,322.58,0.44,0.39,2026-08-26,11,N,VIIRS,n,2.0NRT,288.83,1.39,N
38.76358,31.90376,298.45,0.44,0.39,2026-08-26,11,N,VIIRS,n,2.0NRT,287.24,1.39,N
38.76603,31.90607,299.72,0.44,0.39,2026-08-26,11,N,VIIRS,n,2.0NRT,287.73,0.42,N
39.09146,27.51324,315.87,0.39,0.36,2026-08-26,11,N,VIIRS,n,2.0NRT,294.2,1.08,N
39.09212,27.50881,307.13,0.39,0.36,2026-08-26,11,N,VIIRS,n,2.0NRT,292.76,1.08,N
39.09477,27.51403,309.44,0.39,0.36,2026-08-26,11,N,VIIRS,n,2.0NRT,294.3,1.08,N
39.11393,27.52337,305.73,0.39,0.36,2026-08-26,11,N,VIIRS,n,2.0NRT,293.21,0.6,N
39.16856,27.63152,311.39,0.39,0.36,2026-08-26,11,N,VIIRS,n,2.0NRT,295.91,1.11,N
39.1813,27.5003,304.3,0.39,0.36,2026-08-26,11,N,VIIRS,n,2.0NRT,293.88,0.5,N
35.56369,44.28667,346.99,0.56,0.43,2026-08-26,952,N,VIIRS,n,2.0NRT,319.07,14.49,D
35.66317,43.96454,348.37,0.38,0.44,2026-08-26,952,N,VIIRS,n,2.0NRT,321.63,14.06,D
35.68675,43.87679,351.09,0.39,0.44,2026-08-26,952,N,VIIRS,n,2.0NRT,320.95,35.34,D
35.77124,43.99548,350.26,0.57,0.43,2026-08-26,952,N,VIIRS,n,2.0NRT,319.73,17.63,D
35.97064,36.53449,343.69,0.46,0.64,2026-08-26,952,N,VIIRS,n,2.0NRT,301.94,5.88,D
35.98201,43.77024,353.36,0.39,0.44,2026-08-26,952,N,VIIRS,n,2.0NRT,320.73,11.13,D
35.99686,43.76096,346.3,0.39,0.44,2026-08-26,952,N,VIIRS,n,2.0NRT,319.94,5.0,D
36.0145,41.8327,349.4,0.49,0.48,2026-08-26,952,N,VIIRS,n,2.0NRT,317.49,10.94,D
36.0462,41.38114,347.71,0.51,0.49,2026-08-26,952,N,VIIRS,n,2.0NRT,320.02,4.91,D
36.05022,37.9005,344.67,0.39,0.59,2026-08-26,952,N,VIIRS,n,2.0NRT,306.16,3.16,D
36.11475,36.87468,345.41,0.44,0.62,2026-08-26,952,N,VIIRS,n,2.0NRT,304.55,3.29,D
36.40242,37.24425,343.49,0.41,0.61,2026-08-26,952,N,VIIRS,n,2.0NRT,305.05,4.72,D
36.43186,42.61584,345.08,0.43,0.46,2026-08-26,952,N,VIIRS,n,2.0NRT,314.54,3.51,D
36.43288,42.62056,345.09,0.43,0.46,2026-08-26,952,N,VIIRS,n,2.0NRT,316.06,8.29,D
36.45097,42.9867,355.9,0.41,0.45,2026-08-26,952,N,VIIRS,n,2.0NRT,318.46,11.3,D
36.53601,37.38901,353.65,0.4,0.6,2026-08-26,952,N,VIIRS,n,2.0NRT,302.8,5.06,D
36.53633,37.38754,344.33,0.4,0.6,2026-08-26,952,N,VIIRS,n,2.0NRT,302.64,2.73,D
36.59655,43.02803,353.09,0.41,0.45,2026-08-26,952,N,VIIRS,n,2.0NRT,321.04,14.98,D
36.59963,43.02224,348.98,0.41,0.45,2026-08-26,952,N,VIIRS,n,2.0NRT,321.37,14.98,D
36.60059,43.02675,355.36,0.41,0.45,2026-08-26,952,N,VIIRS,n,2.0NRT,320.11,14.98,D
36.67477,39.75621,341.2,0.6,0.53,2026-08-26,952,N,VIIRS,n,2.0NRT,312.38,5.09,D
36.67678,39.75416,340.13,0.6,0.53,2026-08-26,952,N,VIIRS,n,2.0NRT,311.76,7.38,D
