grid_id,grid_lat,grid_lon,date,fire_count,avg_brightness,avg_frp,max_frp,baseline_mean,baseline_std,z_score,is_anomaly
38.25_31.25,38.25,31.25,2026-08-29,1,337.35,4.3,4.3,,,,False
38.25_31.5,38.25,31.5,2026-08-29,6,342.93,5.791666666666667,9.86,,,,False
38.25_36.0,38.25,36.0,2026-09-01,1,351.08,10.58,10.58,,,,False
38.25_38.25,38.25,38.25,2026-09-01,1,331.39,3.71,3.71,,,,False
38.25_38.5,38.25,38.5,2026-08-26,2,303.745,1.4349999999999998,2.05,,,,False
38.25_38.5,38.25,38.5,2026-08-31,1,298.64,0.81,0.81,2.0,,,False
38.25_40.25,38.25,40.25,2026-08-27,2,357.06,10.28,12.63,,,,False
38.25_41.75,38.25,41.75,2026-08-26,1,337.28,1.92,1.92,,,,False
38.5_26.75,38.5,26.75,2026-08-26,6,313.245,1.7466666666666668,2.62,,,,False
38.5_26.75,38.5,26.75,2026-08-28,1,305.5,2.66,2.66,6.0,,,False
38.5_26.75,38.5,26.75,2026-08-29,6,304.3566666666666,1.425,2.25,3.5,3.5355339059327378,0.7071067811865475,False
38.5_26.75,38.5,26.75,2026-08-30,5,311.506,1.536,2.49,4.333333333333333,2.886751345948129,0.23094010767585038,False
38.5_26.75,38.5,26.75,2026-08-31,6,311.05333333333334,1.1666666666666667,1.67,4.5,2.3804761428476167,0.6301260378126045,False
38.5_30.5,38.5,30.5,2026-08-26,1,309.2,1.24,1.24,,,,False
38.5_30.5,38.5,30.5,2026-08-28,1,298.27,1.57,1.57,1.0,,,False
38.5_30.5,38.5,30.5,2026-08-30,2,318.22,1.865,2.9,1.0,0.0,,False
38.5_30.5,38.5,30.5,2026-08-31,1,308.74,1.38,1.38,1.3333333333333333,0.5773502691896258,-0.5773502691896255,False
38.5_31.5,38.5,31.5,2026-08-29,1,343.73,3.73,3.73,,,,False
38.5_31.75,38.5,31.75,2026-08-31,2,322.58,4.720000000000001,8.21,,,,False
38.5_34.0,38.5,34.0,2026-09-01,1,354.37,8.83,8.83,,,,False
38.5_38.25,38.5,38.25,2026-08-31,1,340.84,5.22,5.22,,,,False
38.5_39.0,38.5,39.0,2026-08-26,1,303.33,0.61,0.61,,,,False
38.5_39.0,38.5,39.0,2026-08-31,1,298.33,0.46,0.46,1.0,,,False
38.5_39.25,38.5,39.25,2026-08-26,2,341.705,9.58,9.58,,,,False
38.75_26.75,38.75,26.75,2026-08-26,1,308.99,0.83,0.83,,,,False
38.75_30.5,38.75,30.5,2026-08-31,4,347.4125,18.5475,19.17,,,,False
38.75_31.75,38.75,31.75,2026-08-26,4,310.2275,1.275,1.9,,,,False
38.75_31.75,38.75,31.75,2026-09-01,1,345.86,28.3,28.3,4.0,,,False
38.75_32.25,38.75,32.25,2026-08-26,5,328.842,7.019999999999999,15.03,,,,False
38.75_32.75,38.75,32.75,2026-09-01,1,342.23,8.12,8.12,,,,False
38.75_33.75,38.75,33.75,2026-08-26,1,311.23,1.85,1.85,,,,False
38.75_34.25,38.75,34.25,2026-08-27,1,350.53,14.31,14.31,,,,False
38.75_34.5,38.75,34.5,2026-08-26,7,356.25857142857143,7.668571428571428,8.53,,,,False
38.75_34.5,38.75,34.5,2026-08-30,2,345.96500000000003,17.36,20.38,7.0,,,False
38.75_35.5,38.75,35.5,2026-08-26,1,348.54,8.34,8.34,,,,False
38.75_37.75,38.75,37.75,2026-08-31,1,296.58,0.59,0.59,,,,False
38.75_38.75,38.75,38.75,2026-08-31,2,349.955,16.744999999999997,17.95,,,,False
38.75_39.75,38.75,39.75,2026-09-01,1,367.0,17.03,17.03,,,,False
39.0_27.25,39.0,27.25,2026-08-31,1,305.88,0.59,0.59,,,,False
39.0_27.5,39.0,27.5,2026-08-26,6,308.9766666666667,0.9083333333333332,1.11,,,,False
39.0_27.5,39.0,27.5,2026-08-28,2,303.97,1.1549999999999998,1.16,6.0,,,False
39.0_27.5,39.0,27.5,2026-08-30,2,302.485,1.4,1.72,4.0,2.8284271247461903,-0.7071067811865475,False
39.0_27.5,39.0,27.5,2026-08-31,6,310.3066666666667,1.1716666666666666,1.57,3.3333333333333335,2.3094010767585034,1.1547005383792512,False
39.0_31.5,39.0,31.5,2026-08-31,5,332.04200000000003,4.044,6.1,,,,False
39.0_33.0,39.0,33.0,2026-08-26,2,311.855,1.44,1.64,,,,False
39.0_34.5,39.0,34.5,2026-08-26,10,355.302,7.364,12.98,,,,False
39.0_34.5,39.0,34.5,2026-08-27,5,346.534,6.292,7.71,10.0,,,False
39.0_34.5,39.0,34.5,2026-09-01,7,348.2785714285714,12.278571428571428,22.12,7.5,3.5355339059327378,-0.1414213562373095,False
39.0_35.0,39.0,35.0,2026-08-27,2,344.11,11.87,12.19,,,,False
39.0_35.0,39.0,35.0,2026-09-01,1,355.84,11.52,11.52,2.0,,,False
39.0_40.75,39.0,40.75,2026-08-30,1,336.47,1.42,1.42,,,,False
39.25_30.0,39.25,30.0,2026-08-26,1,301.63,1.24,1.24,,,,False
39.25_30.0,39.25,30.0,2026-08-28,1,295.67,1.0,1.0,1.0,,,False
39.25_30.0,39.25,30.0,2026-08-30,2,301.47,1.26,1.4,1.0,0.0,,False
39.25_30.0,39.25,30.0,2026-08-31,2,304.01,1.21,1.35,1.3333333333333333,0.5773502691896258,1.1547005383792515,False
39.25_33.5,39.25,33.5,2026-09-01,1,339.95,3.1,3.1,,,,False
39.25_34.5,39.25,34.5,2026-09-01,2,349.41499999999996,25.55,25.55,,,,False
39.25_34.75,39.25,34.75,2026-08-26,2,367.0,12.99,12.99,,,,False
39.25_34.75,39.25,34.75,2026-08-27,1,344.56,2.93,2.93,2.0,,,False
39.25_34.75,39.25,34.75,2026-09-01,1,347.41,2.93,2.93,1.5,0.7071067811865476,-0.7071067811865475,False
39.25_35.25,39.25,35.25,2026-09-01,2,360.37,15.93,15.93,,,,False
39.25_42.25,39.25,42.25,2026-08-27,4,352.09749999999997,7.777500000000001,10.05,,,,False
39.5_27.75,39.5,27.75,2026-08-28,1,298.55,0.42,0.42,,,,False
39.5_27.75,39.5,27.75,2026-08-31,1,305.46,0.62,0.62,1.0,,,False
39.5_27.75,39.5,27.75,2026-09-01,4,345.7175,9.445,12.23,1.0,0.0,,False
39.5_30.0,39.5,30.0,2026-08-26,1,302.2,0.5,0.5,,,,False
39.5_30.0,39.5,30.0,2026-08-31,1,301.91,0.77,0.77,1.0,,,False
39.5_31.75,39.5,31.75,2026-08-27,1,344.68,4.71,4.71,,,,False
39.5_34.0,39.5,34.0,2026-08-26,1,367.0,5.39,5.39,,,,False
39.5_34.5,39.5,34.5,2026-08-26,2,348.12,1.77,1.85,,,,False
39.5_42.75,39.5,42.75,2026-08-29,2,346.95,8.22,8.22,,,,False
39.75_28.75,39.75,28.75,2026-08-26,1,323.83,1.6,1.6,,,,False
39.75_28.75,39.75,28.75,2026-08-31,1,327.62,2.47,2.47,1.0,,,False
39.75_30.25,39.75,30.25,2026-08-26,1,310.85,1.42,1.42,,,,False
39.75_32.75,39.75,32.75,2026-08-31,5,351.244,8.27,10.64,,,,False
39.75_33.0,39.75,33.0,2026-08-26,2,303.14,1.035,1.07,,,,False
39.75_33.25,39.75,33.25,2026-08-26,1,301.02,0.35,0.35,,,,False
39.75_34.5,39.75,34.5,2026-08-26,1,301.86,0.92,0.92,,,,False
39.75_34.75,39.75,34.75,2026-08-27,2,343.055,8.22,8.22,,,,False
